cashtag,sentiment score,text,source,spans,id
"$QUNR","0.303","China's Tourist Bonanza Isn't Going Anywhere https://t.co/hYd95glqT7 $ctrp $qunr $tour","twitter","China's Tourist Bonanza Isn't Going Anywhere","719917003033681900"
"$ESI","0.446","$ESI ITT Educational Services Shares +15% After-Hours as Company Says Submitted 2014 Financial Statements to DoE","stocktwits","0.15","39047884"
"$TSLA","-0.107","Looks like sime jey features if $TSLA model 3 like auto pilot and super fast charge will cist xtra and also top safety rating not guaranteed","twitter","not guaranteed","719590251891658800"
"$HYG","0.437","$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6","stocktwits","Potential continuation Uptrend","32349177"
"$AMZN","0.650","longed $AMZN 300 @ 189.82","stocktwits","longed","5933426"
"$MW","-0.553","meanwhile this absolute garbage still up. $MW stores TOTALLY EMPTY. inventory galore. stock mispriced $JOSB","stocktwits","absolute garbage still up;$;stores TOTALLY EMPTY;$;stock mispriced","17892972"
"$MSTX","0.380","Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA","stocktwits","Buy the dip'","22409313"
"$TSLA","-0.383","$TSLA weakest in todays DT watchlist","twitter","weakest in todays DT watchlist","719895099300139000"
"$FB","-0.093","As Alcoa Kicks Off March Quarter Earnings, We See More Reasons To Be Cautious https://t.co/QIPEseBq6s $FB $AA $AAPL $BAC $BKE $BLK $C $CAT","twitter","We See More Reasons To Be Cautious","719533378698100700"
"$DARA","0.427","$DARA breaking out","stocktwits","breaking out","11685342"
"$GS","-0.063","@JohnChen #BlackBerry $GS $MS #Faucette & #Simona, JMHO are playing ignorant, so the $BBRY smack down looks legitimate","stocktwits","$BBRY smack down looks legitimate;$;$GS $MS;$;are playing ignorant","38563467"
"$BAC","0.433","$BAC in for swing trade  looks like want go up","stocktwits","in for swing trade;$;looks like want go up","8472562"
"$AMZN","0.000","Commented on Apple In Need Of Innovation: Sell Rating https://t.co/9xOmUCSfIT $AAPL $AMZN $GOOG $GOOGL $MSFT","twitter","","719796218071621600"
"$SPY","-0.550","add short 119.2 $SPY","stocktwits","add short","5866181"
"$DVAX","0.109","$DVAX Nice...","stocktwits","Nice..","26553639"
"$ENDP","-0.146","https://t.co/veacS0MB0S Verified $98.95 loss in $ENDP trades","twitter","Verified $98.95 loss in $ENDP trades","719571926285312000"
"$VMW","0.220","Loving the volume in $VMW Above average and higher than yesterday already.","stocktwits","Loving the volume","5453104"
"$FB","0.504","$FB hod, buyers stepped in at that $108 this morning. #finalhour","twitter","hod;$;buyers stepped in","708381004180795400"
"$BIDU","0.362","$BIDU http://stks.co/1LE2 Clearing back above 50 day - next buy / add area when clears this upper trend line on volume","stocktwits","Clearing back above 50 day;$;next buy / add area when clears this upper trend line on volume","5960481"
"$COST","0.321","$COST seems to be respecting channel...long vs 147 stop seems good 2:1 r/r...7down/15up https://t.co/cvSL1YD1Un","twitter","eems to be respecting channel","709780511200317400"
"$CPGX","0.454","Sector Stocks Leading Today: $DVN $APC $FTI $CPGX $CNX $HAR $WRK $LM $LNC $THC $MNK $DGX $MU $SYMC $AVGO $EXPE $DHI https://t.co/0SsgWYkl8p","twitter","Sector Stocks Leading Today","708355634857529300"
"$INTC","-0.296","DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF","twitter","overbought","709741154393133000"
"$FB","-0.420","John Malone: ""Everybody is trying to figure out the role of video on the Internet.""   Now look at $FB live video rollout. Tough space.","twitter","Now look at $FB live video rollout;$;Tough space.","719515248571473900"
"$UNXL","0.356","$UNXL kodak could pick it up before Christmas to write it off in their taxes.","stocktwits","kodak could pick it up before Christmas to write it off in their taxes","29666346"
"$AAPL","-0.201","@RealFanboy101 LOL just wait... media hate $AAPL, they'll whip it back down","stocktwits","they'll whip it back down","15981627"
"$ENDP","0.146","$agn getting rid of its generic biz wouldn't have any interest in $endp imo.  $hznp makes much more sense, plus its Irish based","twitter","plus its Irish based;$; getting rid of its generic biz","719573068864032800"
"$VPRT","0.516","$VPRT http://stks.co/ZSG Over 30.37 and into the Kirby","stocktwits","Over 30.37","5379023"
"$AMRN","-0.431","$AMRN Got sell signal 7/1/14 still in force with target below 1.50","stocktwits","Got sell signal 7/1/14 still in force with target below 1.50","24697241"
"$GOOG","0.562","agree with you - this is not the end of the world- buy $AAPL $GOOG","stocktwits","buy;$;not the end of the world","5853626"
"$PLUG","0.518","$PLUG I suggest a read of report. Future is bright","stocktwits","Future is bright","34103560"
"$BBRY","-0.305","$BBRY 2012-2013 bulls be careful not to smack your monitor .. http://stks.co/d1GUW","stocktwits","bulls be careful","29364798"
"$KGC","0.431","$KGC = in at 577 added at 576 after p/b","stocktwits","in at 577 added at 576 after p/b","15349675"
"$TWTR","0.343","4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN","twitter","may be ripe for a #takeover targe","710475186353475600"
"$OGS","0.414","TOP 5 STOCK PICKS FOR TUESDAY 04/12/16 1) $CNSL 2) $PSXP 3) $DORM 4) $OGS 5) $ROST  #wallsteet #stockmarket #finance #cnbc #cnn #foxnews","twitter","TOP 5 STOCK PICKS","719732320404709400"
"$AAPL","0.482","$AAPL Tomorrow morning will likely open north of 136","stocktwits","Tomorrow morning will likely open north","35980487"
"$HYG","0.332","Unusual Call Activity https://t.co/Cg7Yk4msrI $VXX $CLF $EEM $HYG $C $INTC $XOP $AA $VRX $GS $SBUX $JPM $MGM $USO $QQQ $BAC $CMG $CSCO $GOOG","twitter","Unusual Call Activity","710863854381563900"
"$USO","-0.241","$USO $UWTI $XLE $SPY $SPX $NUGT $AAPL  Iraq Boosts Oil Production to Record Before Talks to Cap Output https://t.co/764YCYOh8l via @business","twitter","Iraq Boosts Oil Production to Record","719493174167625700"
"$AAPL","-0.419","Failed breakouts & failed setups.  Limping on crutches into next week with $AAPL, $RGR, $INVN, $MNST, $TSCO, $SBH, $MELI, $HLF.","stocktwits","Failed breakouts & failed setups;$;Limping on crutches into next week","7867073"
"$RA","0.396","Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY","stocktwits","take-over interest","8562689"
"$INSY","-0.389","$ENDP shares rattled on $INSY saying its Subsys hit by opioid scrutiny; Visium WSJ headlines on probe haven't helped; Visium is #11 holder","twitter","$ENDP shares rattled","719538296204959700"
"$CSX","0.395","Buy CSX to Ride the Railroads https://t.co/3ShWyN7daa via @TheStreet $CSX","twitter","Buy CSX to Ride the Railroads","719498634803458000"
"$FB","-0.418","trade du jour seems to be: out of $FB into $aapl 'sheople' https://t.co/ToSjdcoM4V","twitter","out of $FB into $aapl","719524328363073500"
"$BBBY","-0.373","$BBBY Congrats to the analysts from W. Blair for the downgrade before ER. http://stks.co/s0nxD","stocktwits","downgrade before ER","27121711"
"$DB","0.096","$SBUX downgrade by $DB good opportunity to BUY. If you own it, don't sell it just to buy it again. Taxable event! https://t.co/FvyfQ5e2Mg","twitter","good opportunity to BUY","719881403970818000"
"$INSY","-0.357","Watching $STX $TOL $LEI Higher, $HTZ $MDXG $INSY lower. and maybe fade the metals gap.","twitter","$INSY lower","719507659741872100"
"$JPM","0.529","$AAPL $FB $AMZN $PG $MCD $GS $C $GE $UTX $SLB $XOM $GOOGL $AGN $WMT $QQQ $IWM $GILD $HON $JPM $DIS Nice day rally! https://t.co/Usct2NeWZh","twitter","Nice day rally!","719535506980266000"
"$FB","0.446","$FB popping up to HOD","twitter","popping up to HOD","719881985909350400"
"$CROX","-0.507","what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO","stocktwits","large players are selling","24458298"
"$SCTY","0.363","$SCTY finally broke free from big brother's shadow? $TSLA","stocktwits","finally broke free from big brother's shadow?","17782586"
"$AAPL","0.415","With a stock split, $AAPL could use cash to buy back shares, instead of dividend.","stocktwits","buy back shares","5497092"
"$NTRS","-0.328","$NTRS Insider Trading: Clair St Unloaded 5,838 Shares of Northern Trust Corporation (NASDAQ:NTRS) http://stks.co/r2Hy5","stocktwits","Insider Trading: Clair St Unloaded 5,838 Shares","38224737"
"$VZ","-0.346","ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ","stocktwits","Files Lawsuit Against Verizon","36006797"
"$GOOGL","0.413","Google (#GOOGL) looks to have a solid 2016, with high-teens EPS growth $GOOGL https://t.co/Q7gt8Nu3Bi https://t.co/njMNJlo6EH","twitter","looks to have a solid 2016;$;high-teens EPS growth","719571596462133200"
"$SUNE","-0.179","Watch for $ULTA to trade below $189.52 again to print a daily reversal candle. $SH has got potential.  $FIT and $SUNE have not changed.","twitter","$FIT and $SUNE have not changed.","709411365299982300"
"$SBUX","0.385","Starbucks also doubled the number of stores in France between 2010 and 2016. Still only has 11 stores in Portugal though. $SBUX","twitter","doubled the number","719550842475393000"
"$KNDI","0.519","$KNDI Investors broke the news before the Company confirmed it, that is a positive as top notch Investor DD can be trusted.","stocktwits","that is a positive as top notch Investor DD can be trusted","23547862"
"$MSFT","0.463","The Best Stocks for 2012 | via @ReformedBroker http://stks.co/1e0H $ARCO $CAT $COF $MSFT $AA","stocktwits","The Best Stocks for 2012","6178538"
"$SIRI","0.466","SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker","twitter","added;$;new subscribers","719508310207111200"
"$NFLX","-0.749","Market seems like it's about to roll over here.   Look out below!  $Spy 195 5 DTE $nflx 90-95 28-42 DTE","twitter","Market seems like it's about to roll over here;$;Look out below!","719535831040401400"
"$AAPL","0.500","$AAPL Wearables is Apple's category to win as Samsung flopped on their watch because they couldn't f'n copy Apple!","stocktwits","Apple's category to win","30856626"
"$IMRS","0.400","$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over","stocktwits","bullish story intact,evenif the market rolls over","31132360"
"$ONTY","0.300","$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.","stocktwits","Continues to base as debate linger;$;Downside limited","37935490"
"$NFLX","0.452","Our updated #core4 portfolio: $TSLA, $ULTA, $FB, & $NFLX","twitter","Our updated #core4 portfolio","719532032305573900"
"$VNDA","-0.622","$VNDA I am telling u guys..this stock is up b/c they have European approval news..after this news, it has nothing left. Don't keep it anymor","stocktwits","after this news, it has nothing left. Don't keep it anymor","37892470"
"$DISCA","0.348","Highest call to put ratio $EEV $MHLD $CLD $YGE $GALE $CERS $STLD $LXK $QLIK $GRA $SAND $DISCA $VNQ $EGO $INVA $CFG https://t.co/PrWI3Pm5bm","twitter","Highest call to put ratio","719614954500857900"
"$PDCO","0.428","Is any branch of medicine producing top-rated stocks these days? We found one: https://t.co/OECubHmAHR $HSIC $PDCO $ALGN $XRAY $DHR","twitter","top-rated","708410688230842400"
"$GS","0.609","Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX","stocktwits","Current holdings via options;$;Long:","17785769"
"$WM","0.342","Watchlist Top Stocks $apc $gs $wm $stld $kre $ddr $xrt $mbly $cit $fast https://t.co/K9lPgzjEmO","twitter","Watchlist Top Stocks","719551394798268400"
"$AAPL","0.136","$AAPL could be testing $425 in days","stocktwits","could be testing $425 in days","11875799"
"$BHP","0.198","$CAT +5.10%, $RIO +4.54%, $FCX +3.53%, $FXI +2.93%, $BHP +3.04%, $YHOO +2.61%, $X +2.27%, $SLW +1.68%, $HAL +1.49%, $MCP +1.56% $NFLX +1.42%","stocktwits","$BHP +3.04%","5514207"
"$DIA","-0.258","$SPY $DIA $IWM Time to stomp on some dreams.","stocktwits","Time to stomp on some dreams.","37450150"
"$DUST","-0.573","@immigrationca B U L L I S H   B U Y A L E R T Yahoo Finance! EECZ (Ecosciences Inc) Sold all: $POZN $DUST $AAPL","twitter","Sold all:","719915914120921100"
"$EDU","-0.383","$EDU arrg no go I am out of round #2","stocktwits","arrg no go I am out of round #2","9738169"
"$AAPL","-0.175","$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :)","stocktwits","short term fund/redemption liquidations","8213941"
"$FB","-0.390","$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh","twitter","$FB down 7.5% from this #bearish pattern;$;impressive bearish move","719861575759372300"
"$SNE","0.226","China Will Overtake US As Largest Online Gaming Market Says Report http://stks.co/a1TZL $MSFT $SNE $NQ $DSKY $CMGE","stocktwits","Largest Online Gaming Market","31143613"
"$GOOG","0.404","$GOOG Would like to see upside break in channel this week https://t.co/uaXozkth09","twitter","Would like to see upside break in channel this week","709176395461750800"
"$EUR","-0.374","StockMasters: European Debt once again Keeps Stocks Down http://stks.co/1Avg > $EUR $SPY $VXX","stocktwits","European Debt once again Keeps Stocks Down","5835477"
"$MFLX","-0.412","$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here","stocktwits","lookin 4 short opt here","6445155"
"$FB","0.521","Long on $FB ahead of #F8DeveloperConference","twitter","Long on $FB","719726286227132400"
"$AIS","0.000","watching $ais with pdufa pending, still no real movement.  could be coiling, but i'm on the sidelines for now","stocktwits","still no real movement;$;i'm on the sidelines","5784142"
"$VXX","0.480","Another great day with millions in gains for Tuesday as shorts get caught in the tall grass??? $SPY  $VXX","stocktwits","Another great day with millions in gain;$;shorts get caught in the tall grass","31518357"
"$KBE","0.459","$KBE moves up to my TR1 long watchlist.","stocktwits","moves up to my TR1 long watchlist.","5398884"
"$AAPL","-0.380","@CancunParadise @traderflorida It was only up $2.82 and a laggard. Nothing to get excited about IMO. $AAPL is underperforming the market.","stocktwits","a laggard;$;Nothing to get excited about IMO;$;is underperforming the market","8351517"
"$GOOG","0.336","Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise https://t.co/Ff7gFjSNbP $MU $IBM $ARMH $GOOG $GOOGL $AMD $INTC","twitter","Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise","719905344957222900"
"$NFLX","-0.049","Why @Vonage $vg @8x8 $eght @RingCentral $rng Plunged ! https://t.co/HPLXGmQ36f #Stocks weak outlook for $YHOO $SMSI $NFLX via @themotleyfool","twitter","weak outlook","719644552047362000"
"$AAPL","0.372","@kesef: $AAPL Will join Dow Jones this month""Replacing AT&T","stocktwits","Will join Dow Jones this month'Replacing","33623906"
"$VZ","0.408","Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3","twitter","Most bullish stocks on Twitter during this dip","719909604654624800"
"$TSLA","-0.370","$TSLA red","twitter","red","719582832541179900"
"$MAR","0.233","$MAR being accumulated all day. coming into potentail resistance","twitter","being accumulated all day","719546315332546600"
"$ABC","0.301","Walgreens Boots Alliance(PBR36) uses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares. https://t.co/TJoZlLJEPb $WBA $ABC","twitter","ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares","711113383341199400"
"$AAPL","-0.241","$USO $UWTI $XLE $SPY $SPX $NUGT $AAPL  Iraq Boosts Oil Production to Record Before Talks to Cap Output https://t.co/764YCYOh8l via @business","twitter","Iraq Boosts Oil Production to Record","719493174167625700"
"$MNK","-0.438","2⃣0⃣Biggest Market Losers $VRX $CSTM $ZYNE $ENDP $ARLZ $PTX $BLCM $NVIV $SGY $LABU $WBAI $SID $CJES $MNK $ASPS $HZNP https://t.co/ekwqzpzxmJ","twitter","Biggest Market Losers","709834259687710700"
"$BBBY","0.557","Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores","twitter","Added more $BBBY;$;Still a very profitable merchant with profitable stores","719528163596873700"
"$IFF","-0.471","$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY","stocktwits","Stochastic Sell Signal","29289791"
"$STLD","0.608","$AKS Well here you go..at least you know what sector will be white hot next week..huge buy in all these names..$AKS,$NUE,$STLD,$X..nice work","stocktwits","huge buy in all these names","37312789"
"$GILD","0.000","$GILD Max Pain = 101.00. Maturity = 05/01/2015.  Previous close = 105.01. http://stks.co/p1y42","stocktwits","Max Pain = 101.00","36297090"
"$OIL","0.306","$OIL +2.76% trading @ $21.90","stocktwits","$OIL +2.76%","5422915"
"$AAPL","0.487","@sp0908 $aapl who said not possible?  Everyone is buying calls EOD Friday ;) only question is what it does rest of monthly opex. I will cash","stocktwits","Everyone is buying calls EOD Friday","32728385"
"$WMT","-0.258","U.S. consumers keep cautious stance https://t.co/A92GDndgX8 #premarket $TGT $WMT $COST $HD","twitter","consumers keep cautious stance","709723193125175300"
"$SLV","0.302","$AGQ - $SLV still needs to fill 27.97 - but decent supt here-expect some upside to 30 http://stks.co/bH6r","stocktwits","but decent supt here-expect some upside","11204903"
"$AMZN","-0.547","$AMZN swing short at $368 w/PT of $340 then 315 (maybe 280...will let you know).","stocktwits","swing short","19607999"
"$FLT","-0.464","Short Setups Looking Nice....Really Nice | $AL $ADS $BBY $HRS $DY $EBAY $ETFC $F $FLT $BK $AMGN $HRTX $IVZ $LCI https://t.co/G9DxoE5dzj","twitter","Short Setups Looking Nice....Really Nice","709779449663721500"
"$UL","-0.498","new ""large player sells"" #stocks http://stks.co/qucG $CPWR $GA $UL","stocktwits","new 'large player sells'","19388705"
"$BBRY","0.197","just check out.. $BBRY's owners.. must be very exciting to have it , eh? :-)","stocktwits","must be very exciting to have it","12800394"
"$UUP","-0.381","$UUP (US Dollar) Only Asset Class I Can Find Down On The Day, The Week, The Month, And The Year","stocktwits","Down On The Day, The Week, The Month, And The Year","5526621"
"$AAPL","0.231","$aapl interesting that all these positive stories are coming out the past few days, max pain for monthly OPEX is 500","stocktwits","$aapl interesting that all these positive stories are coming out the past few day","11983857"
"$VG","-0.593","Why @Vonage $vg @8x8 $eght @RingCentral $rng Plunged ! https://t.co/HPLXGmQ36f #Stocks weak outlook for $YHOO $SMSI $NFLX via @themotleyfool","twitter","Plunged","719644552047362000"
"$IWC","0.308","Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.","stocktwits","Equity indexes working on a positive engulfing for March","7399381"
"$BEAT","0.274","@contangoz Confused. Are you long or short? Hope your not short, $BEAT is a 15 dollar stock.","stocktwits","Hope your not short","20469877"
"$HD","-0.258","U.S. consumers keep cautious stance https://t.co/A92GDndgX8 #premarket $TGT $WMT $COST $HD","twitter","consumers keep cautious stance","709723193125175300"
"$TNA","0.274","$TNA, $TZA daily chart of $TNA with upcoming first support in a few days or weeks! http://stks.co/q3Kj","stocktwits","with upcoming first support in a few days or weeks!","12196849"
"$SPY","-0.441","$SPY ..Eventually Profit Margins will matter more than Price. Earnings growth looks dim for 2013 and the current multiple high on the SP 500","stocktwits","Earnings growth looks dim;$; current multiple high","9416020"
"$WMT","0.612","Multi-year stock breakouts $WFC $XOM $WMT $DIS http://stks.co/cBGj","stocktwits","Multi-year stock breakouts","9742736"
"$FB","0.000","$CSAX 0.46 (6.98%) UP* Timing is everything and the time is now for Canna Security America #weed #CANNABIZ $FB #POTS https://t.co/aKk2wIKSAB","twitter","Timing is everything and the time is now for Canna Security America","710525327072583700"
"$YHOO","0.234","@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO","twitter","could see a nice pop if bids come in higher than expected","719587542337720300"
"$AMCN","0.543","$AMCN pushing highs","stocktwits","pushing highs","18567587"
"$FB","-0.393","$FB turns back down in early trading.... https://t.co/reuf5PzhBm","twitter","turns back down in early trading","719525586863988700"
"$HITK","0.816","$HITK  Resuming advance into new historical highs.","stocktwits","Resuming advance into new historical highs","5582309"
"$PPG","0.201","$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY","stocktwits","I am liking it for an upside break","9358281"
"$SPX","-0.242","A Not So Pretty Longer Look, SPY | via @ZorTrades http://stks.co/chf $SPY $SPX","stocktwits","Not So Pretty Longer Look","5419254"
"$OIL","-0.369","$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent","stocktwits","Oil slid to a four-year low after;$;#OPEC kept its oil production unchange","29685449"
"$SPY","0.145","Flat week, my $SPY short premium will expire a full gain, however $GOOGL will expire a loss on the remaining 3/4.","twitter","Flat week","708375808793026600"
"$FB","-0.465","$FB i guess they want it down look at the those sell orders","stocktwits","eod run :)","22100916"
"$TSLA","0.404","$TSLA- NHTSA Gives TSLA Highest Safety Score Ever.Will Be The Day World Ends That NHTSA Says Their Wrong. Long http://stks.co/pdUb","stocktwits","Long","17454753"
"$FXE","-0.389","Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE","twitter","Another Sell Rating","719530996681568300"
"$TSLA","0.467","@tim_cook #AAPL should invest or buy $TSLA & speed up Electric Car development in a exponential way.AAPL could jump 50% partnering with Tsla","twitter","AAPL could jump 50% partnering with Tsla","719562665081737200"
"$NKE","0.383","China February Retail Sales: E-Commerce Remains Resilient https://t.co/aFWn4Rvqph $BABA $BIDU $LB $NKE $TIF $TCEHY $ANF","twitter","China February Retail Sales: E-Commerce Remains Resilient","709776718026768400"
"$ROST","0.414","TOP 5 STOCK PICKS FOR TUESDAY 04/12/16 1) $CNSL 2) $PSXP 3) $DORM 4) $OGS 5) $ROST  #wallsteet #stockmarket #finance #cnbc #cnn #foxnews","twitter","TOP 5 STOCK PICKS","719732320404709400"
"$SIRI","0.759","@pierrules: $SIRI LONG!!","stocktwits","LONG!!","18183440"
"$CDTI","0.282","today's momentum movers http://stks.co/j0OH1 #stocks $MOBI $CDTI $ILMN","stocktwits","today's momentum movers","21026010"
"$VRX","0.216","Good Morning! Here's some of the most trending among #Investors this morning.  $VRX $AAPL $OUTR $DSW $DWTI $MJN $ALR $PLCE $SPPI $TIF","twitter","the most trending","709731726726193200"
"$FB","0.460","Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB","twitter","Looking for a strong bounce;$;Lunchtime rally coming","719891468173844500"
"$WFC","0.314","Stocks Higher In Afternoon Trade; Intel Nears Buy Point: https://t.co/Qs0P3dqokP $GLD $INTC $AA $JPM $WFC $C $DLTH $WB $UA","twitter","Stocks Higher In Afternoon Trade","719599977480253400"
"$AMZN","0.400","Time to go long $AMZN? ""create a bunch of primitives, get out of the way, and take a nice skim off the top."" https://t.co/M82LMpW3Rv","twitter","Time to go long $AMZN?","709787137881858000"
"$AIG","0.322",".@emuziczone   $UYG $AIG $RIG $msft $mcd @MYOFFICES Stockwhisperer First quarter is amazing","twitter","First quarter is amazing","719888646241955800"
"$FTNT","0.455","$PANW need anoth $1 to all time high. $FTNT new high..","stocktwits","$FTNT new high..","37048093"
"$FB","0.360","Facebook to use ‘chatbot’ technology to help users order goods, services through app https://t.co/mnbArkduku $FB","twitter","technology;$;help users","719576182941958100"
"$AAPL","0.218","$AAPL next resistance should be around 420 http://stks.co/iSQ8 I think","stocktwits","next resistance should be around","13152807"
"$TSLA","0.348","$TSLA will the bulls defend 19dma at $236.75 next few sessions #stocks #daytrading #investing #tradeideas","twitter","bulls defend","719520260181909500"
"$AAPL","0.222","$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV","twitter","Has broken its downtrend","719753696339472400"
"$SBUX","-0.392","Morning Movers: Starbucks Slips on Downgrade; ArcelorMittal Gains https://t.co/rt3l3cSQCj @barronsonline $SBUX $MT $MRO $AVP $FAST","twitter","Slips on Downgrade","719872154641244200"
"$BITA","0.488","long $SDLP $CPGX $TWTR $BITA $LABU $FB $TSLA $ETE $SDRL  Autocharts @ https://t.co/nxLx1ES7nY","twitter","long","709389876295110700"
"$CRM","0.365","Pie In The Sky? https://t.co/BOTmT7TZyj $AAPL $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQ $IBM","twitter","Pie In The Sky","719849703106551800"
"$SBUX","0.381","After the Braintree acq, the $SBUX deal, and the $WMT coalition, can we agree payments is the hottest part of tech? http://stks.co/h9V6","stocktwits","hottest part of tech;$;$SBUX deal","9162226"
"$RIMM","0.441","@traderstewie Wonder why more investors are not buying up all the $RIMM stock they can @ $24? Its a great company isn't it? Needs buyers!lol","stocktwits","Its a great company;$;Needs buyers","5386257"
"$SPY","0.513","Added long at friday close  $SPY $LABU $BLUE $AMZN","twitter","Added long at friday close","719515579372077000"
"$TLT","0.417","Ten year yield, weekly http://stks.co/r0Iw2 10 year yield still very bearish, hence 7-10 year T bond fund $IEF bullish. $TLT too.","stocktwits","$IEF bullish. $TLT too.","22780978"
"$UVXY","0.283","@VIXMoney: Back in the saddle again. In $UVXY just around 17. Stop only 0.29","stocktwits","Back in the saddle again","11238707"
